ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,ATMOSPHERIC PRESSURE (Pascal),LOCATION Latitude,LOCATION Longitude,LOCATION Speed,LOCATION ORIENTATION,FRAME
10.207048,-0.498001,-0.482941,9.783252,-0.446818,-0.508658,-0.045045,-0.037024,0.02456,6.87E-04,-0.009186,0.00386,21.1889,-17.1164,-0.6449,176.116,2.5932,-92.9713,102044.92,-33.964302,18.472769,0,,21
10.15509,-0.466507,-0.505173,9.783188,-0.447856,-0.508968,-0.08758,-0.006558,0.040108,6.87E-04,-0.009186,0.00386,21.101,-17.1164,-0.4738,176.1079,2.6115,-92.9763,102044.92,-33.964302,18.472769,0,,22
10.17598,-0.459686,-0.639679,9.78296,-0.44777,-0.513402,-0.097437,-0.010153,-0.080613,0.014542,-0.020905,-0.004669,21.2767,-16.8528,-0.4738,176.1079,2.6115,-92.9763,102044.92,-33.964302,18.472769,0,,23
10.166276,-0.476395,-0.665848,9.78296,-0.44777,-0.513402,-0.097437,-0.010153,-0.080613,0.016663,-0.024109,-0.008926,21.2767,-16.8528,-0.4738,176.1079,2.6115,-92.9763,102044.92,-33.964302,18.472769,0,,24
10.166276,-0.476395,-0.665848,9.782686,-0.446238,-0.519915,-0.081295,-0.002019,-0.107086,0.016663,-0.024109,-0.008926,21.2767,-16.8528,-0.4738,176.1079,2.6115,-92.9763,102044.92,-33.964302,18.472769,0,,25
10.11882,-0.440536,-0.609207,9.782596,-0.44508,-0.522622,-0.081295,-0.002019,-0.107086,0.013474,-0.02623,-0.007858,21.3644,-16.8528,-0.7305,179.5856,2.6081,-93.0422,102045.92,-33.964302,18.472769,0,,26
10.115022,-0.467178,-0.53479,9.782496,-0.444496,-0.524989,-0.125399,0.010773,-0.017103,0.008148,-0.029434,-0.004669,21.1887,-16.8528,-0.6449,179.5856,2.6081,-93.0422,102045.92,-33.964302,18.472769,0,,27
10.154328,-0.480423,-0.511169,9.782496,-0.444496,-0.524989,-0.125399,0.010773,-0.017103,0.004944,-0.031555,-0.00679,21.1887,-16.8528,-0.6449,179.5856,2.6081,-93.0422,102045.92,-33.964302,18.472769,0,,28
10.154328,-0.480423,-0.511169,9.782076,-0.445187,-0.532171,-0.06323,-0.025162,0.055088,0.004944,-0.031555,-0.00679,21.1887,-16.8528,-0.6449,179.5856,2.6081,-93.0422,102045.92,-33.964302,18.472769,0,,29
10.220964,-0.456787,-0.550598,9.781754,-0.444586,-0.538553,0.040719,0.014373,-0.049043,0.00708,-0.044342,-0.001465,21.5403,-16.8528,-0.7303,179.2954,2.6019,-93.114,102045.92,-33.964302,18.472769,0,,30
10.316056,-0.433197,-0.678085,9.781754,-0.444586,-0.538553,0.040719,0.014373,-0.049043,0.010269,-0.040085,-0.012115,21.5403,-16.9407,-0.8158,179.2954,2.6019,-93.114,102045.92,-33.964302,18.472769,0,,31
10.316056,-0.433197,-0.678085,9.781754,-0.444586,-0.538553,0.040719,0.014373,-0.049043,0.008148,-0.037949,-0.018509,21.5403,-16.9407,-0.8158,179.2954,2.6019,-93.114,102044.92,-33.964302,18.472769,0,,32
10.284668,-0.476822,-0.630402,9.78141,-0.441948,-0.546902,0.060297,-0.007514,-0.058895,-0.002502,-0.032623,-0.023834,21.3646,-16.9407,-0.7303,179.2954,2.6019,-93.114,102044.92,-33.964302,18.472769,0,,33
10.284668,-0.476822,-0.630402,9.78141,-0.441948,-0.546902,0.060297,-0.007514,-0.058895,-0.002502,-0.032623,-0.023834,21.3646,-16.9407,-0.7303,179.2954,2.6019,-93.114,102044.92,-33.964302,18.472769,0,,34
10.245346,-0.440536,-0.499084,9.781172,-0.437534,-0.554646,0.018699,-0.023154,0.067528,-0.011032,-0.029434,-0.021713,21.3646,-16.7648,-0.4738,175.7629,2.5572,-93.2455,102044.92,-33.964302,18.472769,0,,35
10.245346,-0.440536,-0.499084,9.781172,-0.437534,-0.554646,0.018699,-0.023154,0.067528,-0.011032,-0.029434,-0.021713,21.3646,-16.7648,-0.4738,175.7629,2.5572,-93.2455,102044.92,-33.964302,18.472769,0,,36
10.231018,-0.416702,-0.541489,9.781124,-0.431537,-0.560172,-4.37E-04,0.024893,0.025081,0.009216,-0.033691,-0.017441,21.4525,-16.6769,-0.3883,175.7629,2.5572,-93.2455,102044.92,-33.964302,18.472769,0,,37
10.231018,-0.416702,-0.541489,9.781066,-0.43,-0.562362,-4.76E-04,0.006316,0.033475,-0.005707,-0.029434,-0.016388,21.4525,-16.6769,-0.3883,175.7629,2.5572,-93.2455,102044.92,-33.964302,18.472769,0,,38
10.283508,-0.478836,-0.594269,9.781066,-0.43,-0.562362,-4.76E-04,0.006316,0.033475,-0.005707,-0.029434,-0.016388,21.4525,-16.6769,-0.3883,175.7629,2.5572,-93.2455,102044.92,-33.964302,18.472769,0,,39
10.226196,-0.459839,-0.612976,9.781066,-0.43,-0.562362,-4.76E-04,0.006316,0.033475,-0.0121,-0.02623,-0.013184,21.1889,-17.0284,-0.3027,175.7088,2.5131,-93.2906,102044.92,-33.964302,18.472769,0,,40
