pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,756.12,382.1,613.08,391.18
0,0,0,0,756.08,383.07,613.07,391.29
0,0,0,0,756.27,384.01,613.05,391.26
0,0,0,0,756.06,385.23,613.12,391.22
0,0,0,0,756.12,386.23,613.08,391.13
0,0,0,0,756.14,387.25,613.08,391.14
0,0,0,0,756.13,387.95,613.13,390.98
0,0,0,0,756.19,388.9,613.44,390.83
0,0,0,0,756.02,389.36,613.566807,397.130197
0,0,0,0,755.96,389.08,614.01,395.15
0,0,0,0,755.97,388.75,613.99,393.23
0,0,0,0,766.412678,389.252735,614.04,391.92
0,0,0,0,763.719358,390.828228,614,391.69
0,0,0,0,763.719358,391.615974,614.07,393.01
0,0,0,0,763.719358,395.554705,613.96,394.68
0,0,0,0,763.98,398.87,613.99,396.9
0,0,0,0,763.97,401.65,613.97,398.18
0,0,0,0,763.99,404.01,614.1,398.7
0,0,0,0,763.97,405.45,614.04,398.79
0,0,0,0,763.91,406.13,614.07,398.08
0,0,0,0,764.02,406.94,614.07,396.19
0,0,0,0,763.98,408.09,614.07,394.09
0,0,0,0,764.06,409.22,614.09,392.03
0,0,0,0,764.05,411.06,614.32,390.1
0,0,0,0,763.99,414.24,614.96,388.91
0,0,0,0,763.94,421.67,616.01,388.12
0,0,0,0,0,0,617.01,387.98
0,0,0,0,0,0,617.99,388.31
0,0,0,0,0,0,618.84,388.42
0,0,0,0,0,0,619.76,388.09
0,0,0,0,0,0,620.73,387.9
0,0,0,0,0,0,625.013414,389.252735
0,0,0,0,0,0,628.85,390.23
0,0,0,0,0,0,630.71,390.15
0,0,0,0,0,0,632.72,390.11
0,0,0,0,0,0,634.4,390.29
0,0,0,0,0,0,635.75,390.94
0,0,0,0,0,0,637.07,391.74
0,0,0,0,0,0,637.96,392.92
0,0,0,0,0,0,639.02,393.95
0,0,0,0,0,0,640.02,394.46
